Electoral District Code,Electoral District Name,Candidate's Ballot Name,Affiliation,Total Valid Votes,% of Popular Vote,In-district Ballot Box count,Date,Time,AdvanceTotals,FinalTotals,Out-of District count,Initial Count Status
ABW,Abbotsford West,Mark Mark,BC Mangoes,3804,20.13%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
ABW,Abbotsford West,Lana Mellalieu,BC Kiwi Party,3065,16.22%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
ABW,Abbotsford West,Kyle Welwood,BC Pineapple Party,3455,18.29%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
BDS,Boundary-Similkameen,Peter Hawes,Cherries,3600,22.19%,17 of 17,22/08/2024,03:52:20 PM,6 of 6,11 of 11,Complete,Complete
BDS,Boundary-Similkameen,Todd Mackinnon,Bananas,3696,22.78%,17 of 17,22/08/2024,03:52:20 PM,6 of 6,11 of 11,Complete,Complete
BDS,Boundary-Similkameen,Toni Olsen,BC Mangoes,2776,17.11%,17 of 17,22/08/2024,03:52:20 PM,6 of 6,11 of 11,Complete,Complete
BDS,Boundary-Similkameen,Mike Stuart,BC Pineapple Party,2894,17.84%,17 of 17,22/08/2024,03:52:20 PM,6 of 6,11 of 11,Complete,Complete
BDS,Boundary-Similkameen,Mary Wolfe,BC Kiwi Party,3259,20.09%,17 of 17,22/08/2024,03:52:20 PM,6 of 6,11 of 11,Complete,Complete
BLS,Bulkley Valley-Stikine,Rebecca Kang,BC Pineapple Party,4866,25.48%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
BLS,Bulkley Valley-Stikine,Rex Martin,Bananas,4393,23.00%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
BLS,Bulkley Valley-Stikine,Kathleen Sharma,BC Mangoes,5065,26.52%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
BLS,Bulkley Valley-Stikine,Sylvia Smith,BC Kiwi Party,4772,24.99%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
BNC,Burnaby Centre,Sophie Moen,BC Pineapple Party,3230,22.49%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
BNC,Burnaby Centre,Preet Patrick,BC Kiwi Party,4052,28.22%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
BNC,Burnaby Centre,Samuel Smith,Bananas,3142,21.88%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
BNC,Burnaby Centre,Robert Throness,BC Mangoes,3936,27.41%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
BNE,Burnaby East,Sue Dean,BC Mangoes,3593,19.56%,11 of 11,22/08/2024,03:52:20 PM,5 of 5,6 of 6,Complete,Complete
BNE,Burnaby East,Doug Flavelle,Bananas,3274,17.82%,11 of 11,22/08/2024,03:52:20 PM,5 of 5,6 of 6,Complete,Complete
BNE,Burnaby East,John Gibson,BC Pineapple Party,3873,21.08%,11 of 11,22/08/2024,03:52:20 PM,5 of 5,6 of 6,Complete,Complete
BNE,Burnaby East,Julian Giesbrecht,Cherries,3743,20.38%,11 of 11,22/08/2024,03:52:20 PM,5 of 5,6 of 6,Complete,Complete
BNE,Burnaby East,Michelle Jaques,BC Kiwi Party,3887,21.16%,11 of 11,22/08/2024,03:52:20 PM,5 of 5,6 of 6,Complete,Complete
BNN,Burnaby-New Westminster,Desta Anderson,BC Mangoes,3159,20.51%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
BNN,Burnaby-New Westminster,Tripat Hale,BC Pineapple Party,2709,17.59%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
BNN,Burnaby-New Westminster,Donald Read,Cherries,3228,20.96%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
BNN,Burnaby-New Westminster,Ben Robson,Bananas,3612,23.45%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
BNN,Burnaby-New Westminster,Roy Sakata,BC Kiwi Party,2694,17.49%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
BNO,Burnaby North,Andrew Babchuk,BC Mangoes,2946,21.29%,13 of 13,22/08/2024,03:52:20 PM,7 of 7,6 of 6,Complete,Complete
BNO,Burnaby North,Ravi Burton,BC Pineapple Party,3160,22.84%,13 of 13,22/08/2024,03:52:20 PM,7 of 7,6 of 6,Complete,Complete
BNO,Burnaby North,Megan Charlwood,Cherries,2857,20.65%,13 of 13,22/08/2024,03:52:20 PM,7 of 7,6 of 6,Complete,Complete
BNO,Burnaby North,Doug Heyman,BC Kiwi Party,2677,19.35%,13 of 13,22/08/2024,03:52:20 PM,7 of 7,6 of 6,Complete,Complete
BNO,Burnaby North,Corbin Merrifield,Bananas,2195,15.87%,13 of 13,22/08/2024,03:52:20 PM,7 of 7,6 of 6,Complete,Complete
BNS,Burnaby South-Metrotown,Connie Chow,BC Pineapple Party,3072,20.36%,11 of 11,22/08/2024,03:52:20 PM,6 of 6,5 of 5,Complete,Complete
BNS,Burnaby South-Metrotown,Duck (Don) Greig,Cherries,2198,14.57%,11 of 11,22/08/2024,03:52:20 PM,6 of 6,5 of 5,Complete,Complete
BNS,Burnaby South-Metrotown,Michael Hamilton,BC Mangoes,2240,14.85%,11 of 11,22/08/2024,03:52:20 PM,6 of 6,5 of 5,Complete,Complete
BNS,Burnaby South-Metrotown,Norm Rai,BC Kiwi Party,2583,17.12%,11 of 11,22/08/2024,03:52:20 PM,6 of 6,5 of 5,Complete,Complete
BNS,Burnaby South-Metrotown,Sonia Shebib,Bananas,2650,17.56%,11 of 11,22/08/2024,03:52:20 PM,6 of 6,5 of 5,Complete,Complete
BNS,Burnaby South-Metrotown,Nicola Taylor,,2346,15.55%,11 of 11,22/08/2024,03:52:20 PM,6 of 6,5 of 5,Complete,Complete
CBC,Cariboo-Chilcotin,Nicole Bill,Bananas,2557,24.64%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
CBC,Cariboo-Chilcotin,Jane Kaul,BC Pineapple Party,2799,26.98%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
CBC,Cariboo-Chilcotin,Brandon Spurling,BC Kiwi Party,2252,21.70%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
CBC,Cariboo-Chilcotin,Devyani Walker,BC Mangoes,2768,26.68%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
CHC,Chilliwack-Cultus Lake,Rylan King,Cherries,2434,19.64%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
CHC,Chilliwack-Cultus Lake,Bryn Letnick,BC Kiwi Party,1734,13.99%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
CHC,Chilliwack-Cultus Lake,David Letnick,BC Mangoes,2578,20.80%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
CHC,Chilliwack-Cultus Lake,John Milobar,BC Pineapple Party,2729,22.02%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
CHC,Chilliwack-Cultus Lake,Ravi Patsicakis,Bananas,2921,23.56%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
CHN,Chilliwack North,Magee Mackinnon,BC Kiwi Party,3349,26.72%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
CHN,Chilliwack North,Pascal Murphy,BC Mangoes,3174,25.32%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
CHN,Chilliwack North,Peter Quince,BC Pineapple Party,3130,24.97%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
CHN,Chilliwack North,Katya Smith,Bananas,2882,22.99%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
CLR,Columbia River-Revelstoke,John Burns,BC Pineapple Party,2828,21.10%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
CLR,Columbia River-Revelstoke,Dan Castle,BC Kiwi Party,2638,19.68%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
CLR,Columbia River-Revelstoke,Alexa Harris,Bananas,2511,18.74%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
CLR,Columbia River-Revelstoke,Vernon Muniak,Cherries,2663,19.87%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
CLR,Columbia River-Revelstoke,Peter Oakes,BC Mangoes,2762,20.61%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
CQB,Coquitlam-Burke Mountain,Kyle Boparai,BC Kiwi Party,2810,19.28%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
CQB,Coquitlam-Burke Mountain,Adam Parsons,BC Mangoes,2911,19.97%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
CQB,Coquitlam-Burke Mountain,Ellis Sandhar,BC Pineapple Party,3059,20.99%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
CQB,Coquitlam-Burke Mountain,Keith Singh,Cherries,2899,19.89%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
CQB,Coquitlam-Burke Mountain,Gary Strandlund,Bananas,2895,19.86%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
CQM,Coquitlam-Maillardville,Joe Crocock,BC Pineapple Party,2547,29.04%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
CQM,Coquitlam-Maillardville,Spencer Keithley,Bananas,2236,25.50%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
CQM,Coquitlam-Maillardville,Jon Olsen,BC Kiwi Party,1643,18.73%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
CQM,Coquitlam-Maillardville,Dominique Tam,BC Mangoes,2344,26.73%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
CRC,Courtenay-Comox,Raymond Hunter,Bananas,3195,26.86%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
CRC,Courtenay-Comox,Michele Leonard,BC Kiwi Party,3001,25.23%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
CRC,Courtenay-Comox,Dennis Russell,BC Pineapple Party,2889,24.29%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
CRC,Courtenay-Comox,Michael Wilkinson,BC Mangoes,2808,23.61%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
CWV,Cowichan Valley,Amanda Brett,BC Kiwi Party,1927,25.41%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
CWV,Cowichan Valley,Jag Davies,Bananas,2153,28.38%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
CWV,Cowichan Valley,Chris Kyllo,BC Mangoes,1618,21.33%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
CWV,Cowichan Valley,Andrew Stoddart-Hansen,BC Pineapple Party,1887,24.88%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
DLN,Delta North,Nicole Chen,BC Mangoes,2456,17.06%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
DLN,Delta North,Sadie Hunt,BC Kiwi Party,2395,16.63%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
DLN,Delta North,Brian Lee,BC Pineapple Party,2582,17.93%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
DLN,Delta North,Ramanjit Macahonic,Bananas,1918,13.32%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
DLN,Delta North,Puneet Murarka,Cherries,2781,19.31%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
DLN,Delta North,Nan Pitcairn,,2267,15.74%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
DLS,Delta South,Leah Alexis,BC Pineapple Party,2521,26.12%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
DLS,Delta South,Louise Bepple,BC Kiwi Party,2578,26.71%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
DLS,Delta South,Shirley Goulet,Bananas,2490,25.80%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
DLS,Delta South,Roy Yang-Riley,BC Mangoes,2063,21.37%,13 of 13,22/08/2024,03:52:20 PM,6 of 6,7 of 7,Complete,Complete
ESC,Esquimalt-Colwood,Zeb Logan,BC Kiwi Party,4510,33.88%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
ESC,Esquimalt-Colwood,Jane Matthews,BC Mangoes,4286,32.20%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
ESC,Esquimalt-Colwood,Kelli Steffler,Bananas,4515,33.92%,14 of 14,22/08/2024,03:52:20 PM,6 of 6,8 of 8,Complete,Complete
FRN,Fraser-Nicola,Gabe Fraser,Bananas,2916,19.33%,14 of 14,22/08/2024,03:52:20 PM,7 of 7,7 of 7,Complete,Complete
FRN,Fraser-Nicola,Scott O'Hara,Cherries,3041,20.16%,14 of 14,22/08/2024,03:52:20 PM,7 of 7,7 of 7,Complete,Complete
FRN,Fraser-Nicola,Katrine Stilwell,BC Mangoes,2604,17.26%,14 of 14,22/08/2024,03:52:20 PM,7 of 7,7 of 7,Complete,Complete
FRN,Fraser-Nicola,Keith Versaevel,BC Pineapple Party,3771,25.00%,14 of 14,22/08/2024,03:52:20 PM,7 of 7,7 of 7,Complete,Complete
FRN,Fraser-Nicola,Delmar Williams,BC Kiwi Party,2752,18.24%,14 of 14,22/08/2024,03:52:20 PM,7 of 7,7 of 7,Complete,Complete
JFM,Juan de Fuca-Malahat,Salvatore Cook,BC Mangoes,2883,28.96%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
JFM,Juan de Fuca-Malahat,Cole Farnworth,BC Pineapple Party,2694,27.06%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
JFM,Juan de Fuca-Malahat,Amelia Plecas,Bananas,1788,17.96%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
JFM,Juan de Fuca-Malahat,Coralee Veintimilla,BC Kiwi Party,2589,26.01%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
KAC,Kamloops Centre,Mathew Ashlie,Bananas,3506,35.32%,11 of 11,22/08/2024,03:52:20 PM,4 of 4,7 of 7,Complete,Complete
KAC,Kamloops Centre,Keli Delong,BC Kiwi Party,2865,28.87%,11 of 11,22/08/2024,03:52:20 PM,4 of 4,7 of 7,Complete,Complete
KAC,Kamloops Centre,Roly Wong,BC Mangoes,3554,35.81%,11 of 11,22/08/2024,03:52:20 PM,4 of 4,7 of 7,Complete,Complete
KAN,Kamloops-North Thompson,Vince Barthel,BC Kiwi Party,2838,19.67%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
KAN,Kamloops-North Thompson,Bowinn Holman,Bananas,4098,28.40%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
KAN,Kamloops-North Thompson,Neema Hunt,BC Mangoes,3087,21.39%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
KAN,Kamloops-North Thompson,Gary Wiens,BC Pineapple Party,4406,30.54%,13 of 13,22/08/2024,03:52:20 PM,5 of 5,8 of 8,Complete,Complete
KEC,Kelowna Centre,Spencer Filippelli,Bananas,5621,24.66%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
KEC,Kelowna Centre,Melanie Kirkpatrick,BC Kiwi Party,5596,24.55%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
KEC,Kelowna Centre,Ronna-Rae Pielak,BC Pineapple Party,6110,26.80%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
KEC,Kelowna Centre,Peter Zargham,BC Mangoes,5469,23.99%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
KLC,Kelowna-Lake Country-Coldstream,David Flavelle,BC Kiwi Party,3541,23.31%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
KLC,Kelowna-Lake Country-Coldstream,Thomas Fleming,BC Pineapple Party,4092,26.94%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
KLC,Kelowna-Lake Country-Coldstream,Harry Lowe,Bananas,3880,25.54%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
KLC,Kelowna-Lake Country-Coldstream,Stephen Truong,BC Mangoes,3677,24.21%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
KLM,Kelowna-Mission,Jaeden Clovechok,BC Kiwi Party,4259,14.89%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
KLM,Kelowna-Mission,Sean Loo,,3974,13.89%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
KLM,Kelowna-Mission,James Miller,Cherries,4095,14.31%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
KLM,Kelowna-Mission,Gulzar Ranta,Bananas,4318,15.09%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
KLM,Kelowna-Mission,Bowinn Reimer,BC Pineapple Party,3944,13.78%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
KLM,Kelowna-Mission,Chris Root, ,4205,14.70%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
KLM,Kelowna-Mission,Xaanja Wat,BC Mangoes,3816,13.34%,12 of 12,22/08/2024,03:52:20 PM,5 of 5,7 of 7,Complete,Complete
KOC,Kootenay Central,David Kelley,BC Kiwi Party,3404,29.73%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
KOC,Kootenay Central,Owen Mullins,Bananas,3917,34.21%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
KOC,Kootenay Central,Anne Singh,BC Mangoes,4129,36.06%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
KOM,Kootenay-Monashee,Hilary Cheema,BC Kiwi Party,2476,20.38%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
KOM,Kootenay-Monashee,Aird Greer,BC Pineapple Party,2486,20.46%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
KOM,Kootenay-Monashee,Andrew Smith,BC Mangoes,2682,22.07%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
KOM,Kootenay-Monashee,Eden Twigg,Bananas,2051,16.88%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
KOM,Kootenay-Monashee,Ian Wilson,Cherries,2456,20.21%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
KOR,Kootenay-Rockies,Dan Bond,BC Kiwi Party,2551,21.75%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
KOR,Kootenay-Rockies,Jas Clovechok,BC Pineapple Party,2910,24.81%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
KOR,Kootenay-Rockies,Karin Darwin,Bananas,3133,26.71%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
KOR,Kootenay-Rockies,Mitzi Wall,BC Mangoes,3137,26.74%,15 of 15,22/08/2024,03:52:20 PM,6 of 6,9 of 9,Complete,Complete
LAO,Ladysmith-Oceanside,Jody Babcock,Bananas,2432,19.79%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
LAO,Ladysmith-Oceanside,Jordan Beare,BC Kiwi Party,3090,25.15%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
LAO,Ladysmith-Oceanside,Alex Cariou,BC Mangoes,3570,29.05%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
LAO,Ladysmith-Oceanside,Michael Doyle,BC Pineapple Party,3196,26.01%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
LFH,Langford-Highlands,Tom Fonseca,BC Kiwi Party,2964,21.91%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
LFH,Langford-Highlands,Veronica Ryan,BC Mangoes,3831,28.31%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
LFH,Langford-Highlands,Rasoul Tremblay,BC Pineapple Party,3358,24.82%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
LFH,Langford-Highlands,Ryan Yamamoto,Bananas,3378,24.96%,13 of 13,22/08/2024,03:52:20 PM,4 of 4,9 of 9,Complete,Complete
LLA,Langley-Abbotsford,Janet Anglin,BC Kiwi Party,4769,17.59%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LLA,Langley-Abbotsford,Larry Delfing,BC Pineapple Party,4378,16.15%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LLA,Langley-Abbotsford,Sam Hallschmid,BC Mangoes,4291,15.83%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LLA,Langley-Abbotsford,Jesse Lombardi,Cherries,4113,15.17%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LLA,Langley-Abbotsford,James Seres,Bananas,5032,18.56%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LLA,Langley-Abbotsford,Christy Smith,,4525,16.69%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LWG,Langley-Walnut Grove,Tyson Joehl,BC Mangoes,3516,27.37%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
LWG,Langley-Walnut Grove,Reuben Macnair,BC Pineapple Party,3001,23.36%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
LWG,Langley-Walnut Grove,Harpreet Osborne,Bananas,3278,25.52%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
LWG,Langley-Walnut Grove,Marc Wilson,BC Kiwi Party,3049,23.74%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
LWI,Langley-Willowbrook,Gail Geronazzo,BC Kiwi Party,5008,14.47%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LWI,Langley-Willowbrook,Garry Kunst,,5349,15.45%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LWI,Langley-Willowbrook,Jennifer Lali,BC Mangoes,5308,15.34%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LWI,Langley-Willowbrook,Jose Marciniw,Cherries,3708,10.71%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LWI,Langley-Willowbrook,Jenn Murdoch,Bananas,5210,15.05%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LWI,Langley-Willowbrook,Adrian Popham,BC Pineapple Party,5472,15.81%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
LWI,Langley-Willowbrook,Margaret Stone,Independent,4557,13.17%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
MAE,Maple Ridge East,Jackie Desjardins,BC Kiwi Party,2798,23.05%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
MAE,Maple Ridge East,Randal Hines,BC Pineapple Party,2920,24.06%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
MAE,Maple Ridge East,Nancy Hyde,BC Mangoes,2315,19.07%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
MAE,Maple Ridge East,Iqbal Neilson,Bananas,4104,33.81%,14 of 14,22/08/2024,03:52:20 PM,5 of 5,9 of 9,Complete,Complete
MAP,Maple Ridge-Pitt Meadows,Samson Brar,BC Mangoes,3390,40.19%,12 of 12,22/08/2024,03:52:20 PM,4 of 4,8 of 8,Complete,Complete
