Electoral District Code,Electoral District Name,leadingParty,leadingCandidate,leadingPopVote,FinalTotals,colorCategory,NDP,Conservative,Green,Independent,Other
RCB,Richmond-Bridgeport,Conservative,Teresa Wat,58.38,13 of 14,Conservative lead,34.61,58.38,3.18,0.73,0
RCC,Richmond Centre,Conservative,Hon Chan,52.24,11 of 12,Conservative lead,36.51,52.24,0,6.35,0
RCQ,Richmond-Queensborough,Conservative,Steve Kooner,51.21,14 of 15,Conservative lead,43.81,51.21,0,3.67,0
RCS,Richmond-Steveston,NDP,Kelly Greene,44.17,14 of 15,NDP lead,44.17,42.27,3.43,10.12,0
SRC,Surrey City Centre,NDP,Amna Shah,46.11,11 of 12,NDP lead,46.11,45.83,5.99,1.09,0.98
SRD,Surrey-Cloverdale,Conservative,Elenore Sturko,48.6,13 of 14,Conservative lead,45.34,48.6,5.36,0,0.69
SRF,Surrey-Fleetwood,NDP,Jagrup Brar,48.23,12 of 13,NDP lead,48.23,45.29,6.48,0,0
SRG,Surrey-Guildford,Conservative,Honveer Singh Randhawa,47.14,11 of 12,Conservative lead,46.59,47.14,4.3,1.97,0
SRN,Surrey-Newton,NDP,Jessie Sunner,50.81,12 of 13,NDP lead,50.81,43.28,0,1.24,2.43
SUN,Surrey North,Conservative,Mandeep Dhaliwal,51.18,11 of 12,Conservative lead,42.84,51.18,4.14,0.8,1.04
SUP,Surrey-Panorama,Conservative,Bryan Tepper,49.87,10 of 10,Conservative lead,47.81,49.87,0,0,2.32
SUR,Surrey-Serpentine River,Conservative,Linda Hepner,49.93,13 of 13,Conservative lead,47.24,49.93,0,2.84,0
SUS,Surrey South,Conservative,Brent Chapman,59.22,12 of 13,Conservative lead,40.78,59.22,0,0,0
SWR,Surrey-White Rock,Conservative,Trevor Halford,53.89,15 of 16,Conservative lead,43.64,53.89,0,0,2.47
VFV,Vancouver-Fraserview,NDP,George Chow,57,15 of 16,NDP lead,57,36.83,6.17,0,0
VHA,Vancouver-Hastings,NDP,Niki Sharma,64.18,15 of 16,NDP lead,64.18,24.39,10.74,0.69,0
VKE,Vancouver-Kensington,NDP,Mable Elmore,60.63,11 of 12,NDP lead,60.63,31.82,7.55,0,0
VLA,Vancouver-Langara,NDP,Sunita Dhir,48.18,11 of 11,NDP lead,48.18,46.32,5.5,0,0
VLM,Vancouver-Little Mountain,NDP,Christine Boyle,61.93,14 of 15,NDP lead,61.93,30.71,7.36,0,0
VNP,Vancouver-Point Grey,NDP,David Eby,56.76,14 of 14,NDP lead,56.76,34.63,8.61,0,0
VNQ,Vancouver-Quilchena,Conservative,Dallas Brodie,51.8,14 of 14,Conservative lead,38.6,51.8,7.83,1.77,0
VNR,Vancouver-Renfrew,NDP,Adrian Dix,62.98,13 of 14,NDP lead,62.98,30.91,6.11,0,0
VNS,Vancouver-South Granville,NDP,Brenda Bailey,64.06,15 of 16,NDP lead,64.06,25.22,10.72,0,0
VNT,Vancouver-Strathcona,NDP,Joan Phillip,68.82,16 of 17,NDP lead,68.82,17.26,12.25,0,1.67
VNW,Vancouver-West End,NDP,Spencer Chandra Herbert,62.98,12 of 13,NDP lead,62.98,27.37,8.96,0.7,0
VNY,Vancouver-Yaletown,NDP,Terry Yung,49.42,12 of 13,NDP lead,49.42,43.7,6.88,0,0
VTB,Victoria-Beacon Hill,NDP,Grace Lore,47.18,16 of 17,NDP lead,47.18,19.27,33.55,0,0
VTS,Victoria-Swan Lake,NDP,Nina Krieger,55.8,15 of 16,NDP lead,55.8,20.39,23.19,0,0.62
WVC,West Vancouver-Capilano,Conservative,Lynne Block,46.88,13 of 14,Conservative lead,26.95,46.88,5.51,20.66,0
WVS,West Vancouver-Sea to Sky,Green,Jeremy Valeriote,38.19,17 of 18,Green lead,26.23,35.58,38.19,0,0
